Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Value,Standard Units,Assay Organism
CHEMBL3355088,740.09,CCCCCCCCCCCCCCCCCC(=O)NC(CCCN)C(=O)NC(CCCN)C(=O)NC(CCCN)C(=O)NC(CCCN)C(N)=O,7.5,ug.mL-1,Escherichia coli
CHEMBL529,749.0,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,20.0,ug.mL-1,Escherichia coli
CHEMBL3352888,456.54,CCc1oc(OC)c(Cc2c(O)c3c(c(C(=O)[C@@H](C)CC)c2O)OC(C)(C)C=C3)c(=O)c1C,128000.0,nM,Escherichia coli
CHEMBL15461,379.82,CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CCN1,0.025,ug.mL-1,Escherichia coli
CHEMBL194126,449.55,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,1.625,ug.mL-1,Escherichia coli
CHEMBL4469341,1520.8,CCCCCCCC(=O)N[C@@H](C(=O)N[C@H](CCN)C(=O)N(C)CC(=O)N[C@H](CO)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCN)C(=O)N[C@H](CCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C)C(=O)O)C(C)C)C(C)C)C(C)C,50.0,ug.mL-1,Escherichia coli
CHEMBL4542327,419.44,O=C(O)c1cn(C2CC2)c2c(cc(F)c3nn(CN4CCOCC4)c(=S)n32)c1=O,0.125,ug.mL-1,Escherichia coli
CHEMBL9,319.34,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,50000.0,nM,Escherichia coli
CHEMBL4441931,444.54,CCn1cc(-c2csc(N)n2)c(=O)c2cc(F)c(N3CCN(C/C(C)=N/O)CC3)cc21,72000.0,nM,Escherichia coli
CHEMBL4227262,391.45,CN(C)C1=NC(c2ccc3cc(OCc4ccccc4F)ccc3c2)N=C(N)N1,4.0,ug.mL-1,Escherichia coli
CHEMBL457077,494.45,O=C(/C=C/c1ccc(O)c(O)c1/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,0.125,ug.mL-1,Escherichia coli BL21(DE3)
CHEMBL4531595,307.3,CCOC(=O)CC1Oc2ccc(C(=O)OCC)cc2NC1=O,79400.0,nM,Escherichia coli
CHEMBL4160470,800.18,CC(C)C(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)[C@@H]1COC(=O)C1CN(C(=O)c2ccc(O)c(O)c2Cl)C1)c1csc(N)n1)c1cc(=O)c(O)cn1O,64.0,ug.mL-1,Escherichia coli
CHEMBL4169402,242.26,CN1C(=O)C(=CNC(N)=S)C(=O)N(C)C1=O,200000.0,nM,Escherichia coli ATCC 25922
